"Grupo Estadistico2 (ALAMBRON, NEGROS ANTAAC), Direccion (VENTAS MEXICO) Periodo(Mes: Ene 2001/Ene 2021)",,,,,
Ene 2021 Grupo Estadistico3,Grupo Estadistico2,Est Toneladas Netas,Mes Año,Est Precio Destino MN/Ton,Est Precio ExWorks MN/Ton
CLAVO 2-5,NEGROS ANTAAC,"2,651.55",sep-03,"5,624.06","5,624.06"
ESCALERILLA,NEGROS ANTAAC,48.94,sep-03,"9,438.49","9,438.49"
ESTRIBOS,NEGROS ANTAAC,205.02,sep-03,"4,745.94","4,745.94"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,563.94",sep-03,"5,035.61","4,583.59"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"2,712.21",sep-03,"5,661.95","5,274.56"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,125.08,sep-03,"5,137.58","5,137.58"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,227.58,sep-03,"4,763.63","4,763.63"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,815.93",sep-02,"4,336.94","4,336.94"
ALAMBRON CONSTRUCCION,ALAMBRON,"4,376.79",sep-02,"3,177.73","3,177.73"
ALAMBRON EXCEDENTES,ALAMBRON,"1,864.49",sep-02,"2,509.14","2,509.14"
ALAMBRON TREFILADO,ALAMBRON,"5,387.54",sep-02,"3,143.83","3,143.83"
ALAMBRONES ESPECIALES,ALAMBRON,"2,107.18",sep-02,"2,973.52","2,973.52"
ARMADURA,NEGROS ANTAAC,378.54,sep-02,"6,937.90","6,937.90"
CASTILLO DOB.,NEGROS ANTAAC,723.8,sep-02,"4,372.62","4,372.62"
CASTILLO HOJAS,NEGROS ANTAAC,"6,023.50",sep-02,"4,107.54","4,107.54"
CLAVO 2-5,NEGROS ANTAAC,"2,455.42",sep-02,"4,548.45","4,548.45"
ESCALERILLA,NEGROS ANTAAC,25.48,sep-02,"7,959.66","7,959.66"
ESTRIBOS,NEGROS ANTAAC,112.53,sep-02,"4,381.97","4,381.97"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"3,073.43",sep-02,"4,147.57","4,147.57"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"2,451.69",sep-02,"4,790.33","4,790.33"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,115.04,sep-02,"4,651.94","4,651.94"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,381.22,sep-02,"4,092.03","4,092.03"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,064.32",sep-01,"3,870.30","3,870.30"
ALAMBRON CONSTRUCCION,ALAMBRON,"5,345.44",sep-01,"2,889.40","2,889.40"
ALAMBRON EXCEDENTES,ALAMBRON,"1,610.33",sep-01,"2,478.00","2,478.00"
ALAMBRON TREFILADO,ALAMBRON,"8,311.14",sep-01,"2,918.14","2,918.14"
ALAMBRONES ESPECIALES,ALAMBRON,"1,507.24",sep-01,"3,019.87","3,019.87"
ARMADURA,NEGROS ANTAAC,356.17,sep-01,"6,921.25","6,921.25"
CASTILLO DOB.,NEGROS ANTAAC,585.44,sep-01,"4,353.35","4,353.35"
CASTILLO HOJAS,NEGROS ANTAAC,"7,585.16",sep-01,"3,954.34","3,954.34"
CLAVO 2-5,NEGROS ANTAAC,"2,287.39",sep-01,"4,212.24","4,212.24"
ESCALERILLA,NEGROS ANTAAC,26.15,sep-01,"6,784.24","6,784.24"
ESTRIBOS,NEGROS ANTAAC,134.49,sep-01,"4,040.51","4,040.51"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,380.11",sep-01,"3,483.64","3,483.64"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"2,326.35",sep-01,"4,067.69","4,067.69"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,76.92,sep-01,"4,736.01","4,736.01"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,277.32,sep-01,"4,005.14","4,005.14"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"2,468.23",oct-20,"16,444.55","15,441.89"
ALAMBRON CONSTRUCCION,ALAMBRON,"5,047.67",oct-20,"13,759.89","12,567.86"
ALAMBRON ENDEREZADO,NEGROS ANTAAC,11.07,oct-20,"16,224.67","15,036.57"
ALAMBRON EXCEDENTES,ALAMBRON,5.13,oct-20,"13,500.00","12,400.00"
ALAMBRON TREFILADO,ALAMBRON,"7,317.14",oct-20,"13,198.76","12,246.99"
ALAMBRONES ESPECIALES,ALAMBRON,"2,141.82",oct-20,"14,105.16","13,698.52"
ARMADURA,NEGROS ANTAAC,397.28,oct-20,"20,074.56","18,894.53"
CASTILLO DOB.,NEGROS ANTAAC,307.23,oct-20,"19,393.13","17,808.06"
CASTILLO HOJAS,NEGROS ANTAAC,"6,722.03",oct-20,"17,727.88","16,863.38"
CLAVO 2-5,NEGROS ANTAAC,"1,630.69",oct-20,"17,101.52","15,748.41"
ESCALERILLA,NEGROS ANTAAC,28.15,oct-20,"24,735.76","23,329.39"
ESTRIBOS,NEGROS ANTAAC,"1,027.10",oct-20,"14,571.17","13,756.37"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,822.89,oct-20,"17,055.92","16,031.66"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"1,949.33",oct-20,"18,923.52","17,748.77"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,13.01,oct-20,"18,349.11","17,647.30"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,166.46,oct-20,"16,564.47","15,704.61"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"2,691.59",oct-19,"13,115.89","12,287.75"
ALAMBRON CONSTRUCCION,ALAMBRON,"3,190.19",oct-19,"11,051.51","9,807.48"
ALAMBRON ENDEREZADO,NEGROS ANTAAC,5.51,oct-19,"11,597.13","10,200.82"
ALAMBRON TREFILADO,ALAMBRON,"6,163.74",oct-19,"10,879.39","10,035.16"
ALAMBRONES ESPECIALES,ALAMBRON,"1,433.48",oct-19,"12,831.36","11,965.09"
ARMADURA,NEGROS ANTAAC,450.77,oct-19,"15,002.43","14,165.08"
CASTILLO DOB.,NEGROS ANTAAC,554.35,oct-19,"13,685.83","12,283.38"
CASTILLO HOJAS,NEGROS ANTAAC,"6,148.29",oct-19,"11,641.10","10,949.13"
CLAVO 2-5,NEGROS ANTAAC,"1,721.73",oct-19,"14,098.62","12,847.18"
ESCALERILLA,NEGROS ANTAAC,29.57,oct-19,"22,063.93","20,909.70"
ESTRIBOS,NEGROS ANTAAC,922.07,oct-19,"12,367.89","11,465.16"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,866.67,oct-19,"12,263.75","11,285.82"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"2,577.00",oct-19,"12,757.15","11,849.61"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,35.37,oct-19,"13,497.33","12,647.54"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,313.92,oct-19,"13,356.38","12,682.85"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"2,213.39",oct-18,"16,688.58","15,909.94"
ALAMBRON CONSTRUCCION,ALAMBRON,"2,410.75",oct-18,"14,452.92","13,355.11"
ALAMBRON TREFILADO,ALAMBRON,"8,756.40",oct-18,"14,378.45","13,728.18"
ALAMBRONES ESPECIALES,ALAMBRON,"1,297.44",oct-18,"15,507.66","15,230.54"
ARMADURA,NEGROS ANTAAC,515.93,oct-18,"18,661.59","17,665.18"
CASTILLO DOB.,NEGROS ANTAAC,737.92,oct-18,"17,661.18","16,206.54"
CASTILLO HOJAS,NEGROS ANTAAC,"5,331.02",oct-18,"15,923.58","15,316.90"
CLAVO 2-5,NEGROS ANTAAC,"1,410.20",oct-18,"18,049.66","16,911.71"
ESCALERILLA,NEGROS ANTAAC,33.47,oct-18,"23,425.20","22,158.05"
ESTRIBOS,NEGROS ANTAAC,876.25,oct-18,"15,433.80","14,610.48"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,869.99,oct-18,"17,428.49","16,463.32"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"2,106.80",oct-18,"18,178.49","17,265.13"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,22.02,oct-18,"17,015.29","16,512.37"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,256.35,oct-18,"16,264.23","15,789.38"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"2,889.62",oct-17,"12,874.45","12,193.76"
ALAMBRON CONSTRUCCION,ALAMBRON,"1,769.70",oct-17,"10,891.68","9,662.01"
ALAMBRON TREFILADO,ALAMBRON,"5,075.90",oct-17,"11,011.65","10,544.38"
ALAMBRONES ESPECIALES,ALAMBRON,643.49,oct-17,"12,024.81","12,024.81"
ARMADURA,NEGROS ANTAAC,560.17,oct-17,"15,217.91","14,499.66"
CASTILLO DOB.,NEGROS ANTAAC,796,oct-17,"14,453.68","13,080.98"
CASTILLO HOJAS,NEGROS ANTAAC,"4,698.62",oct-17,"12,587.81","12,026.96"
CLAVO 2-5,NEGROS ANTAAC,"1,663.27",oct-17,"14,073.70","13,083.08"
ESCALERILLA,NEGROS ANTAAC,61.17,oct-17,"18,946.09","17,879.61"
ESTRIBOS,NEGROS ANTAAC,747.31,oct-17,"11,891.97","10,931.99"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"1,262.93",oct-17,"13,498.20","12,836.00"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"2,970.49",oct-17,"15,133.10","14,354.08"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,38.21,oct-17,"13,117.33","12,405.90"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,336.84,oct-17,"12,695.34","12,227.17"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,444.12",oct-16,"13,228.54","12,710.68"
ALAMBRON CONSTRUCCION,ALAMBRON,"3,188.08",oct-16,"10,381.98","10,162.24"
ALAMBRON OTROS,ALAMBRON,184.13,oct-16,"11,391.57","11,263.57"
ALAMBRON TREFILADO,ALAMBRON,"12,150.39",oct-16,"10,058.36","9,972.04"
ALAMBRONES ESPECIALES,ALAMBRON,775.86,oct-16,"12,032.34","11,891.91"
ARMADURA,NEGROS ANTAAC,546.74,oct-16,"15,383.07","14,909.45"
CASTILLO DOB.,NEGROS ANTAAC,918.12,oct-16,"14,038.89","13,453.41"
CASTILLO HOJAS,NEGROS ANTAAC,"6,310.72",oct-16,"12,767.34","12,482.53"
CLAVO 2-5,NEGROS ANTAAC,"1,483.22",oct-16,"14,470.71","13,648.08"
ESCALERILLA,NEGROS ANTAAC,40.35,oct-16,"19,310.20","18,178.67"
ESTRIBOS,NEGROS ANTAAC,759.76,oct-16,"10,882.98","10,295.67"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"1,932.08",oct-16,"13,571.40","13,279.04"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"3,199.72",oct-16,"14,457.32","14,149.56"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,17.03,oct-16,"13,873.83","13,424.85"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,345.93,oct-16,"12,930.87","12,510.05"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"2,945.88",oct-15,"10,182.99","9,667.24"
ALAMBRON CONSTRUCCION,ALAMBRON,"2,807.15",oct-15,"8,787.64","8,532.93"
ALAMBRON TREFILADO,ALAMBRON,"8,921.06",oct-15,"8,672.40","8,568.05"
ALAMBRONES ESPECIALES,ALAMBRON,914.52,oct-15,"9,089.06","8,974.62"
ARMADURA,NEGROS ANTAAC,733.19,oct-15,"11,443.13","11,046.46"
CASTILLO DOB.,NEGROS ANTAAC,"1,036.96",oct-15,"10,602.77","9,993.11"
CASTILLO HOJAS,NEGROS ANTAAC,"6,621.51",oct-15,"9,586.64","9,337.66"
CLAVO 2-5,NEGROS ANTAAC,"1,526.33",oct-15,"11,691.56","10,819.62"
ESCALERILLA,NEGROS ANTAAC,33.61,oct-15,"17,049.73","16,115.19"
ESTRIBOS,NEGROS ANTAAC,735.23,oct-15,"9,735.76","9,117.28"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"1,480.28",oct-15,"9,978.88","9,698.68"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"2,898.00",oct-15,"10,751.90","10,416.22"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,41.8,oct-15,"10,370.68","10,032.56"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,464.83,oct-15,"10,074.12","9,739.07"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"4,351.15",oct-14,"9,635.87","9,635.87"
ALAMBRON CONSTRUCCION,ALAMBRON,"3,480.32",oct-14,"8,634.32","8,377.72"
ALAMBRON EXCEDENTES,ALAMBRON,-7.47,oct-14,"7,500.00","7,395.00"
ALAMBRON TREFILADO,ALAMBRON,"6,830.28",oct-14,"9,505.57","8,818.79"
ALAMBRONES ESPECIALES,ALAMBRON,921.22,oct-14,"11,408.84","9,750.86"
ARMADURA,NEGROS ANTAAC,640.01,oct-14,"11,221.00","11,221.00"
CASTILLO DOB.,NEGROS ANTAAC,985.16,oct-14,"9,694.81","9,153.17"
CASTILLO HOJAS,NEGROS ANTAAC,"7,393.56",oct-14,"8,683.54","8,439.27"
CLAVO 2-5,NEGROS ANTAAC,"1,646.96",oct-14,"11,140.49","11,140.49"
ESCALERILLA,NEGROS ANTAAC,55.31,oct-14,"18,170.98","18,170.98"
ESTRIBOS,NEGROS ANTAAC,646.66,oct-14,"9,254.98","9,254.98"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,547.89",oct-14,"9,194.55","8,934.99"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"3,560.48",oct-14,"9,971.37","9,647.12"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,42.75,oct-14,"10,414.50","10,414.50"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,579.43,oct-14,"9,959.14","9,959.14"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"4,495.97",oct-13,"9,564.71","9,564.71"
ALAMBRON CONSTRUCCION,ALAMBRON,"3,386.57",oct-13,"8,872.99","8,645.98"
ALAMBRON EXCEDENTES,ALAMBRON,-28.32,oct-13,"7,500.02","7,395.00"
ALAMBRON TREFILADO,ALAMBRON,"3,522.08",oct-13,"9,602.48","8,961.96"
ALAMBRONES ESPECIALES,ALAMBRON,476.83,oct-13,"11,287.68","9,413.94"
ARMADURA,NEGROS ANTAAC,417.01,oct-13,"11,237.75","11,237.75"
CASTILLO DOB.,NEGROS ANTAAC,875.62,oct-13,"10,199.61","9,633.85"
CASTILLO HOJAS,NEGROS ANTAAC,"6,257.54",oct-13,"9,058.96","8,838.94"
CLAVO 2-5,NEGROS ANTAAC,"1,544.51",oct-13,"11,319.15","11,319.15"
ESCALERILLA,NEGROS ANTAAC,37.4,oct-13,"18,237.72","18,237.72"
ESTRIBOS,NEGROS ANTAAC,522.67,oct-13,"9,310.13","9,310.13"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,481.68",oct-13,"9,551.84","9,239.88"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"3,680.36",oct-13,"9,586.49","9,311.06"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,79.36,oct-13,"10,098.84","10,098.84"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,534.38,oct-13,"9,886.75","9,886.75"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,501.65",oct-12,"10,873.85","10,873.85"
ALAMBRON CONSTRUCCION,ALAMBRON,"2,897.23",oct-12,"10,313.67","10,087.10"
ALAMBRON EXCEDENTES,ALAMBRON,-25.98,oct-12,"7,870.90","7,680.90"
ALAMBRON TREFILADO,ALAMBRON,"5,924.78",oct-12,"10,384.21","9,576.72"
ALAMBRONES ESPECIALES,ALAMBRON,793.32,oct-12,"11,315.86","9,733.58"
ARMADURA,NEGROS ANTAAC,625.83,oct-12,"11,895.18","11,895.18"
CASTILLO DOB.,NEGROS ANTAAC,"1,041.84",oct-12,"11,192.77","10,603.15"
CASTILLO HOJAS,NEGROS ANTAAC,"7,302.96",oct-12,"9,810.07","9,600.22"
CLAVO 2-5,NEGROS ANTAAC,"1,704.01",oct-12,"12,196.30","12,196.30"
ESCALERILLA,NEGROS ANTAAC,46.8,oct-12,"18,353.27","18,353.27"
ESTRIBOS,NEGROS ANTAAC,294.28,oct-12,"11,250.51","11,250.51"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"1,587.04",oct-12,"10,008.19","9,756.48"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"2,994.32",oct-12,"10,480.81","10,186.37"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,187.43,oct-12,"11,490.61","11,490.61"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,646.72,oct-12,"11,156.55","11,156.55"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,897.53",oct-11,"12,217.02","12,217.02"
ALAMBRON CONSTRUCCION,ALAMBRON,"2,495.60",oct-11,"11,336.42","11,147.71"
ALAMBRON TREFILADO,ALAMBRON,"6,134.07",oct-11,"11,548.58","11,444.93"
ALAMBRONES ESPECIALES,ALAMBRON,"1,414.75",oct-11,"12,390.70","12,253.86"
ARMADURA,NEGROS ANTAAC,641.93,oct-11,"14,577.38","14,577.38"
CASTILLO DOB.,NEGROS ANTAAC,674.34,oct-11,"13,411.54","12,887.54"
CASTILLO HOJAS,NEGROS ANTAAC,"6,973.65",oct-11,"12,003.26","11,810.99"
CLAVO 2-5,NEGROS ANTAAC,"1,637.45",oct-11,"13,962.62","13,962.62"
ESCALERILLA,NEGROS ANTAAC,28.54,oct-11,"20,686.99","20,686.99"
ESTRIBOS,NEGROS ANTAAC,87.38,oct-11,"12,647.31","12,647.31"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,622.92",oct-11,"12,081.83","11,782.27"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"2,397.23",oct-11,"12,878.36","12,615.97"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,362.03,oct-11,"11,777.89","11,777.89"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,"1,092.46",oct-11,"11,586.02","11,586.02"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"2,670.88",oct-10,"9,447.26","9,447.26"
ALAMBRON CONSTRUCCION,ALAMBRON,"1,053.29",oct-10,"8,839.72","8,623.23"
ALAMBRON EXCEDENTES,ALAMBRON,"1,133.01",oct-10,"7,150.55","7,030.80"
ALAMBRON TREFILADO,ALAMBRON,"5,858.45",oct-10,"8,530.38","8,422.33"
ALAMBRONES ESPECIALES,ALAMBRON,"1,047.48",oct-10,"8,462.99","8,369.02"
ARMADURA,NEGROS ANTAAC,630.7,oct-10,"10,571.27","10,571.27"
CASTILLO DOB.,NEGROS ANTAAC,515.41,oct-10,"9,574.71","9,076.47"
CASTILLO HOJAS,NEGROS ANTAAC,"5,481.73",oct-10,"8,928.46","8,681.42"
CLAVO 2-5,NEGROS ANTAAC,"1,630.95",oct-10,"10,727.93","10,727.93"
ESCALERILLA,NEGROS ANTAAC,35.9,oct-10,"17,341.22","17,341.22"
ESTRIBOS,NEGROS ANTAAC,96.49,oct-10,"9,720.61","9,720.61"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,191.05",oct-10,"9,203.82","8,940.01"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"2,526.33",oct-10,"10,053.35","9,657.58"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,240.53,oct-10,"9,181.33","9,181.33"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,806.78,oct-10,"9,437.80","9,437.80"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,597.74",oct-09,"8,337.02","8,337.02"
ALAMBRON CONSTRUCCION,ALAMBRON,"3,909.18",oct-09,"7,306.82","7,102.25"
ALAMBRON EXCEDENTES,ALAMBRON,"1,431.37",oct-09,"6,434.18","6,305.67"
ALAMBRON TREFILADO,ALAMBRON,"5,957.62",oct-09,"8,202.62","8,111.35"
ALAMBRONES ESPECIALES,ALAMBRON,694.94,oct-09,"8,206.23","8,092.94"
ARMADURA,NEGROS ANTAAC,577.86,oct-09,"10,729.36","10,729.36"
CASTILLO DOB.,NEGROS ANTAAC,841.08,oct-09,"8,571.39","7,960.42"
CASTILLO HOJAS,NEGROS ANTAAC,"7,968.50",oct-09,"7,310.38","7,073.77"
CLAVO 2-5,NEGROS ANTAAC,"1,832.65",oct-09,"10,023.66","10,023.66"
ESCALERILLA,NEGROS ANTAAC,39.15,oct-09,"17,199.37","17,199.37"
ESTRIBOS,NEGROS ANTAAC,224.79,oct-09,"8,432.11","8,432.11"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,292.66",oct-09,"7,970.80","7,706.03"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"3,473.43",oct-09,"8,559.77","7,919.53"
REMESH,NEGROS ANTAAC,1.78,oct-09,"8,912.56","8,729.60"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,52.28,oct-09,"8,885.82","8,885.82"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,562.74,oct-09,"8,816.20","8,816.20"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"5,300.24",oct-08,"11,966.07","11,966.07"
ALAMBRON CONSTRUCCION,ALAMBRON,"3,278.62",oct-08,"10,922.59","10,698.44"
ALAMBRON EXCEDENTES,ALAMBRON,"2,608.34",oct-08,"9,304.78","9,171.39"
ALAMBRON TREFILADO,ALAMBRON,"4,219.21",oct-08,"12,560.91","12,480.86"
ALAMBRONES ESPECIALES,ALAMBRON,644.32,oct-08,"13,640.91","13,531.72"
ARMADURA,NEGROS ANTAAC,"1,006.19",oct-08,"14,307.36","14,307.36"
CASTILLO DOB.,NEGROS ANTAAC,907.4,oct-08,"13,338.70","12,687.69"
CASTILLO HOJAS,NEGROS ANTAAC,"11,008.63",oct-08,"11,299.03","11,035.58"
CLAVO 2-5,NEGROS ANTAAC,"2,295.33",oct-08,"13,351.72","13,351.72"
ESCALERILLA,NEGROS ANTAAC,29.21,oct-08,"20,584.60","20,584.60"
ESTRIBOS,NEGROS ANTAAC,228.4,oct-08,"12,084.30","12,084.30"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,995.75",oct-08,"10,965.82","10,715.95"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"5,021.71",oct-08,"11,376.29","11,052.52"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,289.1,oct-08,"13,651.31","13,651.31"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,"1,004.19",oct-08,"12,184.01","12,184.01"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,737.83",oct-07,"8,146.41","8,146.41"
ALAMBRON CONSTRUCCION,ALAMBRON,"3,651.54",oct-07,"7,469.57","7,187.76"
ALAMBRON EXCEDENTES,ALAMBRON,"1,852.39",oct-07,"6,198.21","6,066.53"
ALAMBRON TREFILADO,ALAMBRON,"5,636.82",oct-07,"6,843.18","6,711.14"
ALAMBRONES ESPECIALES,ALAMBRON,"1,235.28",oct-07,"6,935.01","6,816.81"
ARMADURA,NEGROS ANTAAC,"1,492.30",oct-07,"10,551.56","10,551.56"
CASTILLO DOB.,NEGROS ANTAAC,723.7,oct-07,"9,017.90","8,369.48"
CASTILLO HOJAS,NEGROS ANTAAC,"7,885.23",oct-07,"7,705.96","7,428.33"
CLAVO 2-5,NEGROS ANTAAC,"2,276.54",oct-07,"9,631.27","9,631.27"
ESCALERILLA,NEGROS ANTAAC,80.75,oct-07,"17,748.60","17,748.60"
ESTRIBOS,NEGROS ANTAAC,419.46,oct-07,"7,879.06","7,879.06"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,795.06",oct-07,"8,118.94","7,807.74"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"3,407.85",oct-07,"8,963.43","8,596.95"
REMESH,NEGROS ANTAAC,1.03,oct-07,"8,683.79","8,683.79"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,245.05,oct-07,"8,248.29","8,248.29"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,"1,110.03",oct-07,"7,978.81","7,978.81"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"5,433.36",oct-06,"7,863.34","7,863.34"
ALAMBRON CONSTRUCCION,ALAMBRON,"5,013.08",oct-06,"6,078.47","5,855.98"
ALAMBRON EXCEDENTES,ALAMBRON,"1,083.04",oct-06,"5,977.74","5,828.12"
ALAMBRON TREFILADO,ALAMBRON,"4,482.35",oct-06,"6,286.49","6,193.90"
ALAMBRONES ESPECIALES,ALAMBRON,"1,428.55",oct-06,"7,100.26","6,961.99"
ARMADURA,NEGROS ANTAAC,913.04,oct-06,"10,897.83","10,897.83"
CASTILLO DOB.,NEGROS ANTAAC,804.75,oct-06,"9,458.39","8,782.77"
CASTILLO HOJAS,NEGROS ANTAAC,"10,894.27",oct-06,"7,052.23","6,779.96"
CLAVO 2-5,NEGROS ANTAAC,"2,613.66",oct-06,"9,615.83","9,615.83"
ESCALERILLA,NEGROS ANTAAC,44.29,oct-06,"13,529.83","13,529.83"
ESTRIBOS,NEGROS ANTAAC,347.65,oct-06,"7,687.41","7,687.41"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"4,009.87",oct-06,"7,519.92","7,194.36"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"4,140.26",oct-06,"8,783.20","8,346.09"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,206.46,oct-06,"8,591.92","8,591.92"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,"1,556.10",oct-06,"7,978.53","7,978.53"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"4,420.22",oct-05,"7,432.15","7,432.15"
ALAMBRON CONSTRUCCION,ALAMBRON,"3,925.01",oct-05,"6,263.64","6,080.33"
ALAMBRON EXCEDENTES,ALAMBRON,"3,458.14",oct-05,"4,773.44","4,635.94"
ALAMBRON TREFILADO,ALAMBRON,"10,091.41",oct-05,"5,997.66","5,891.78"
ALAMBRONES ESPECIALES,ALAMBRON,"1,837.31",oct-05,"6,741.44","6,579.18"
ARMADURA,NEGROS ANTAAC,"1,368.85",oct-05,"9,652.88","9,652.88"
CASTILLO DOB.,NEGROS ANTAAC,"1,126.58",oct-05,"8,140.68","7,464.06"
CASTILLO HOJAS,NEGROS ANTAAC,"11,074.05",oct-05,"6,864.57","6,693.70"
CLAVO 2-5,NEGROS ANTAAC,"3,051.28",oct-05,"8,734.57","8,734.57"
ESCALERILLA,NEGROS ANTAAC,34.41,oct-05,"15,291.38","15,291.38"
ESTRIBOS,NEGROS ANTAAC,249.46,oct-05,"7,205.68","7,205.68"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"4,573.20",oct-05,"7,377.38","7,049.29"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"4,043.05",oct-05,"8,397.03","7,989.87"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,344.37,oct-05,"7,938.13","7,938.13"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,952.77,oct-05,"7,444.37","7,444.37"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,928.34",oct-04,"8,849.01","8,849.01"
ALAMBRON CONSTRUCCION,ALAMBRON,"4,075.27",oct-04,"7,582.85","7,391.72"
ALAMBRON EXCEDENTES,ALAMBRON,"1,068.60",oct-04,"6,430.45","6,264.12"
ALAMBRON TREFILADO,ALAMBRON,"3,362.97",oct-04,"7,373.81","7,251.19"
